Plate,BusCoach,City
SN62AXO,B,Edinburgh
PN52ZVO,B,Edinburgh
YU52VRD,M,Edinburgh
USY858,C,Edinburgh
SN62AXU,B,Edinburgh
SK15KWY,M,Edinburgh
SS61PCH,C,Edinburgh
SN62AUC,B,Edinburgh
HX64DVB,M,Edinburgh
SN06HCF,M,Edinburgh
HX64DNN,M,Edinburgh
B13DWA,C,Edinburgh
B19DWA,C,Edinburgh
B14DWA,C,Edinburgh
B17DWA,C,Edinburgh
B15DWA,C,Edinburgh
HX64DLN,B,Edinburgh
SN61FOM,B,Edinburgh
SF09OLT,M,Edinburgh
N16JSB,M,Edinburgh
SN61FOJ,B,Edinburgh
BG12NWY,B,Edinburgh
ST07UWZ,M,Edinburgh
YD13FWV,M,Edinburgh
HX64DVT,M,Edinburgh
HX64DNJ,M,Edinburgh
ST07SVX,M,Edinburgh
UAF780,C,Edinburgh
SL64BZT,M,Edinburgh
SN13DSY,M,Edinburgh
DG16JXE,B,Edinburgh
W66AMA,C,Edinburgh
SS63PCH,C,Edinburgh
SS14PCH,C,Edinburgh
SN60BPX,B,Edinburgh
DG16JXS,B,Edinburgh
SB58JXD,M,Edinburgh
RIG6495,B,Edinburgh
DG16JXU,B,Edinburgh
DG16JXT,B,Edinburgh
DG16JXF,B,Edinburgh
SN06GOU,M,Edinburgh
SN10GKP,B,Edinburgh
SK10XAV,M,Edinburgh
ND63AAA,C,Edinburgh
BU14EHW,B,Edinburgh
BX65WDA,C,Edinburgh
YM65LEF,B,Edinburgh
ST07SVZ,M,Edinburgh
WE60EVE,C,Edinburgh
Y10EVE,B,Edinburgh
SO55YXU,M,Edinburgh
SN65CJJ,M,Edinburgh
SN60BPZ,B,Edinburgh
V5EVE,B,Edinburgh
SN55FCM,B,Edinburgh
E16JSB,B,Edinburgh
DK65AOG,B,Edinburgh
OO15TSH,C,Edinburgh
RX04RXD,M,Edinburgh
KIB545,C,Edinburgh
SN06JCJ,B,Edinburgh
JSU550,C,Edinburgh
AY15ZXU,B,Edinburgh
RIG6496,B,Edinburgh
HY13HRU,B,Edinburgh
OU14AOZ,B,Edinburgh
BX16CLU,C,Edinburgh
SN11CHY,M,Edinburgh
SK10KXZ,M,Edinburgh
PSU698,C,Edinburgh
SN10EPK,M,Edinburgh
LSU689,C,Edinburgh
784EYB,C,Edinburgh
EN65HBX,M,Edinburgh
PSU614,C,Edinburgh
HN12NZE,B,Edinburgh
SN57HDJ,B,Edinburgh
SN61FOP,B,Edinburgh
ST59NHK,M,Edinburgh
ST59RNO,M,Edinburgh
X700BUS,B,Edinburgh
BU05EXZ,M,Edinburgh
SP53GPO,B,Edinburgh
GK15TZM,B,Edinburgh
KV06JYU,M,Edinburgh
KSK986,C,Edinburgh
KS08XRP,M,Edinburgh
RIG6490,B,Edinburgh
ET65HVE,B,Edinburgh
RIG6498,B,Edinburgh
SF13HTN,B,Edinburgh
SN16BWM,M,Edinburgh
SN16BWO,M,Edinburgh
LJ58NUM,M,Edinburgh
LT08SVU,B,Edinburgh
YJ62JWW,B,Edinburgh
YJ62JVX,B,Edinburgh
KX10FGK,M,Edinburgh
N19PBS,C,Edinburgh
SN04ABF,B,Edinburgh
J5EGT,M,Edinburgh
SN06HCA,B,Edinburgh
WF13XER,M,Edinburgh
N163TBO,B,Edinburgh
SN55HFD,B,Edinburgh
BU56FDE,M,Edinburgh
KN53WJZ,B,Edinburgh
BF10LWN,M,Edinburgh
YN13GDX,C,Edinburgh
T13ECL,B,Edinburgh
X226WNO,B,Edinburgh
YX59DZE,B,Edinburgh
FJ09ZVY,M,Edinburgh
YJ09KLX,M,Edinburgh
AD56LOA,M,Edinburgh
SH58BLN,M,Edinburgh
SN05NXT,M,Edinburgh
N800CHA,B,Edinburgh
SN57HCP,B,Edinburgh
PN08CMX,C,Edinburgh
SF08NTK,B,Edinburgh
SK52OGY,B,Edinburgh
CY64GGX,M,Edinburgh
SK52OGU,B,Edinburgh
SN62AUK,B,Edinburgh
BT64RNO,B,Edinburgh
P121JNF,C,Edinburgh
Y6BUS,B,Edinburgh
PJI3746,C,Edinburgh
SN57HCY,B,Edinburgh
SN16BVP,M,Edinburgh
R442AJO,M,Edinburgh
BX10CFN,M,Edinburgh
SN10GKL,B,Edinburgh
WUH704,C,Edinburgh
T70JYM,M,Edinburgh
SK12RWJ,M,Edinburgh
RM16AAA,C,Edinburgh
YRR436,C,Edinburgh
ST06DOH,B,Edinburgh
SF64NRV,B,Edinburgh
SN10GKE,B,Edinburgh
SN55JVJ,B,Edinburgh
SN55JVP,B,Edinburgh
SN55JVL,B,Edinburgh
H9LRX,B,Edinburgh
SN10ETO,B,Edinburgh
SN55JVA,B,Edinburgh
SN57HDA,B,Edinburgh
SN06JAO,B,Edinburgh
ST59ENC,M,Edinburgh
Y199GBO,B,Edinburgh
SN66XBT,B,Aberdeen
ST63KOH,B,Aberdeen
SV05DXR,B,Aberdeen
SN14EDK,B,Aberdeen
Y637RSA,B,Aberdeen
SN66WXT,B,Aberdeen
SV12CZG,B,Aberdeen
SN14EDL,B,Aberdeen
SV05DXL,B,Aberdeen
SV05DXK,B,Aberdeen
SN14EDU,B,Aberdeen
SV05DXD,B,Aberdeen
SN14EDV,B,Aberdeen
SN14EDP,B,Aberdeen
CN09ABU,B,Aberdeen
SV14FYS,B,Aberdeen
SN14FDV,B,Aberdeen
SN13COA,B,Aberdeen
SN13CNX,B,Aberdeen
SN14EDC,B,Aberdeen
MX08DHK,B,Aberdeen
SV07EHC,B,Aberdeen
SV05DXJ,B,Aberdeen
SN14FEG,B,Aberdeen
SN14EDF,B,Aberdeen
SV14FYR,B,Aberdeen
SV06GRF,B,Aberdeen
KX61GEY,C,Aberdeen
SN14FEH,B,Aberdeen
SN14EDJ,B,Aberdeen
X477NSS,B,Aberdeen
SV57BYS,B,Aberdeen
SV12CZH,B,Aberdeen
SL14DCE,B,Aberdeen
CV55AGX,C,Aberdeen
SV62BXL,B,Aberdeen
SL66WLH,B,Aberdeen
SN14EDO,B,Aberdeen
SV57BFX,B,Aberdeen
SV62BYR,B,Aberdeen
KX61GDV,C,Aberdeen
